List Loss. Total Prompt Count=113749758
Absolute Time Mark,Prompts per Deadtime sample,Prompts in ListFile,Difference,Missing Time Marks,Sorter Busy (%),CPM Busy
248123,0,85161,0,0,0,0
249124,1144380,1144328,52,0,0.004544,7059
250124,1136603,1136567,36,0,0.003167,7009
251124,1141142,1141194,-52,0,-0.004557,7314
252124,1138238,1138245,-7,0,-0.000615,7069
253124,1132106,1132088,18,0,0.001590,6803
254124,1140862,1140914,-52,0,-0.004558,7030
255124,1137171,1137147,24,0,0.002111,7019
256124,1134515,1134466,49,0,0.004319,6899
257124,1140069,1140120,-51,0,-0.004473,6898
258124,1140453,1140490,-37,0,-0.003244,7306
259124,1136299,1136281,18,0,0.001584,7001
260124,1139915,1139851,64,0,0.005614,7011
261124,1139602,1139603,-1,0,-0.000088,7186
262124,1135339,1135380,-41,0,-0.003611,7068
263124,1140727,1140673,54,0,0.004734,6917
264124,1139476,1139561,-85,0,-0.007460,7060
265124,1135916,1135887,29,0,0.002553,6889
266124,1139428,1139362,66,0,0.005792,6917
267124,1137929,1137993,-64,0,-0.005624,6941
268124,1133654,1133652,2,0,0.000176,6918
269124,1140225,1140165,60,0,0.005262,7048
270124,1139867,1139971,-104,0,-0.009124,7118
271124,1134893,1134837,56,0,0.004934,7013
272124,1137766,1137767,-1,0,-0.000088,6945
273124,1139698,1139777,-79,0,-0.006932,7117
274124,1133121,1133059,62,0,0.005472,7160
275124,1141365,1141354,11,0,0.000964,7107
276124,1136308,1136257,51,0,0.004488,7220
277124,1134150,1134177,-27,0,-0.002381,6940
278124,1139925,1139988,-63,0,-0.005527,6900
279124,1136342,1136297,45,0,0.003960,7039
280124,1134575,1134523,52,0,0.004583,6922
281124,1139603,1139624,-21,0,-0.001843,6851
282124,1138621,1138697,-76,0,-0.006675,6930
283124,1134143,1134162,-19,0,-0.001675,6866
284124,1138293,1138276,17,0,0.001493,7194
285124,1135738,1135752,-14,0,-0.001233,6918
286124,1134400,1134348,52,0,0.004584,7119
287124,1139496,1139478,18,0,0.001580,7039
288124,1139770,1139800,-30,0,-0.002632,7120
289124,1134726,1134677,49,0,0.004318,6996
290124,1138451,1138518,-67,0,-0.005885,7263
291124,1138114,1138102,12,0,0.001054,6950
292124,1132076,1132026,50,0,0.004417,6801
293124,1139355,1139328,27,0,0.002370,7124
294124,1137206,1137317,-111,0,-0.009761,6900
295124,1135611,1135582,29,0,0.002554,7020
296124,1139658,1139576,82,0,0.007195,6881
297124,1135551,1135614,-63,0,-0.005548,7232
298124,1132850,1132875,-25,0,-0.002207,6895
299124,1139305,1139325,-20,0,-0.001755,7125
300124,1137859,1137873,-14,0,-0.001230,6896
301124,1132712,1132632,80,0,0.007063,6856
302124,1140538,1140539,-1,0,-0.000088,7125
303124,1137422,1137442,-20,0,-0.001758,7160
304124,1136334,1136285,49,0,0.004312,6980
305124,1139950,1140027,-77,0,-0.006755,6879
306124,1137068,1137070,-2,0,-0.000176,6984
307124,1135395,1135332,63,0,0.005549,7078
308124,1140980,1140987,-7,0,-0.000614,6964
309124,1136846,1136896,-50,0,-0.004398,7201
310124,1136203,1136159,44,0,0.003873,6728
311124,1138876,1138900,-24,0,-0.002107,7103
312124,1138899,1138882,17,0,0.001493,6947
313124,1132716,1132660,56,0,0.004944,6680
314124,1139611,1139679,-68,0,-0.005967,7031
315124,1137625,1137639,-14,0,-0.001231,6837
316124,1136492,1136461,31,0,0.002728,7104
317124,1139139,1139109,30,0,0.002634,7006
318124,1136677,1136712,-35,0,-0.003079,7004
319124,1135987,1136042,-55,0,-0.004842,6797
320124,1140867,1140821,46,0,0.004032,7008
321124,1138195,1138150,45,0,0.003954,7223
322124,1137618,1137650,-32,0,-0.002813,6952
323124,1137265,1137254,11,0,0.000967,6979
324124,1138581,1138626,-45,0,-0.003952,7035
325124,1134231,1134169,62,0,0.005466,6882
326124,1137472,1137487,-15,0,-0.001319,7052
327124,1137483,1137584,-101,0,-0.008879,7081
328124,1134225,1134151,74,0,0.006524,6891
329124,1139152,1139116,36,0,0.003160,6779
330124,1138782,1138745,37,0,0.003249,6887
331124,1133882,1133924,-42,0,-0.003704,6928
332124,1138661,1138644,17,0,0.001493,6988
333124,1139709,1139803,-94,0,-0.008248,6955
334124,1134371,1134354,17,0,0.001499,7200
335124,1141507,1141508,-1,0,-0.000088,6977
336124,1140813,1140727,86,0,0.007538,7158
337124,1135207,1135258,-51,0,-0.004493,7183
338124,1139547,1139531,16,0,0.001404,7013
339124,1137330,1137320,10,0,0.000879,6912
340124,1132868,1132892,-24,0,-0.002119,7054
341124,1137913,1137918,-5,0,-0.000439,6981
342124,1137481,1137440,41,0,0.003604,7285
343124,1134606,1134621,-15,0,-0.001322,6926
344124,1137878,1137886,-8,0,-0.000703,6950
345124,1139213,1139235,-22,0,-0.001931,7154
346124,1136408,1136450,-42,0,-0.003696,6906
347124,1139305,1139174,131,0,0.011498,7021
